Company,Ticker,Source Type,URL,Access Notes,Last Checked,Evidence Line,Quality Notes
Salesforce,CRM,Investor Relations,https://investor.salesforce.com,"Use for earnings releases, presentations, and official transcript links where available.",,Management Language,Primary source preferred.
Salesforce,CRM,SEC EDGAR Search,https://www.sec.gov/edgar/search/#/q=CRM,"Use for 10-K, 10-Q, 8-K, risk factors, restructuring disclosures.",,External Red Flags,Primary regulatory source.
Salesforce,CRM,Glassdoor Manual Search,https://www.google.com/search?q=Salesforce+Glassdoor+reviews,"Manual review only; record ratings and review themes, do not scrape.",,Employee Review Trend,"Check overall, CEO approval, business outlook, management confidence where visible."
Salesforce,CRM,LinkedIn People Search,https://www.linkedin.com/search/results/people/?keywords=Salesforce+VP+product+engineering+staff+principal,Manual logged-in research; record VP+/Staff+/core product and engineering moves.,,Talent Flow,Most labor-intensive source; strongest differentiator.
Salesforce,CRM,Transcript Search,https://www.google.com/search?q=Salesforce+earnings+call+transcript,"Prefer IR, Seeking Alpha, Motley Fool, or other public transcript source.",,Management Language,Read latest 2-3 calls before publishing a card.
Salesforce,CRM,News / Red Flag Search,https://www.google.com/search?q=Salesforce+layoffs+lawsuit+SEC+investigation+executive+departure,Use to reconcile Google Alerts and external events.,,External Red Flags,Record material events only.
ServiceNow,NOW,Investor Relations,https://investors.servicenow.com,"Use for earnings releases, presentations, and official transcript links where available.",,Management Language,Primary source preferred.
ServiceNow,NOW,SEC EDGAR Search,https://www.sec.gov/edgar/search/#/q=NOW,"Use for 10-K, 10-Q, 8-K, risk factors, restructuring disclosures.",,External Red Flags,Primary regulatory source.
ServiceNow,NOW,Glassdoor Manual Search,https://www.google.com/search?q=ServiceNow+Glassdoor+reviews,"Manual review only; record ratings and review themes, do not scrape.",,Employee Review Trend,"Check overall, CEO approval, business outlook, management confidence where visible."
ServiceNow,NOW,LinkedIn People Search,https://www.linkedin.com/search/results/people/?keywords=ServiceNow+VP+product+engineering+staff+principal,Manual logged-in research; record VP+/Staff+/core product and engineering moves.,,Talent Flow,Most labor-intensive source; strongest differentiator.
ServiceNow,NOW,Transcript Search,https://www.google.com/search?q=ServiceNow+earnings+call+transcript,"Prefer IR, Seeking Alpha, Motley Fool, or other public transcript source.",,Management Language,Read latest 2-3 calls before publishing a card.
ServiceNow,NOW,News / Red Flag Search,https://www.google.com/search?q=ServiceNow+layoffs+lawsuit+SEC+investigation+executive+departure,Use to reconcile Google Alerts and external events.,,External Red Flags,Record material events only.
Workday,WDAY,Investor Relations,https://investor.workday.com,"Use for earnings releases, presentations, and official transcript links where available.",,Management Language,Primary source preferred.
